title,company,location,job_type,salary,description
"Data Center Operation Technician , Operations, IT Support & Engineering",Amazon,Melbourne VIC,,,"Troubleshoot and resolve data center infrastructure issues • Engage in physical data center activities and problem-solving tasks • Participate in projects, mentor team members, and ensure operational efficiency"
Infrastructure Specialist,affix,Melbourne VIC,Contract,,Analyzing data and supporting migration from on-prem to Exchange Online • Strong expertise in on-premises Exchange and Exchange Online systems • Hands-on technical skills for day-to-day operational tasks and documentation
Systems Engineer,Pointsbet,Melbourne VIC,Contract,,"Provide global level 3 technical support remotely and on-site • Maintain and administer server infrastructure, including cloud platforms • Extensive experience with Office 365, Azure, and virtual environments"
Digital Applications Manager,Global Express,Tullamarine VIC,Full time,,"Lead digital platform strategy, development, and performance • Manage cross-functional teams and integrations in secure environments • Degree in Computer Science, 5+ years experience, Java, AWS"
"Project Manager Construction, Data Center Capacity Delivery",Amazon,Melbourne VIC,Full time,,"Amazon Construction Project Managers (CPMs) are always at the forefront of the construction industry in terms of innovation, and maintain..."
"Senior Manager, Architecture",Future Fund,Melbourne VIC,Full time,,"Lead strategic technology architecture decisions and governance • Manage complex, organization-wide projects across various architecture domains • Bachelor's degree in computer science or related field required"
Infrastructure Engineer,Service Stream Group,Melbourne VIC,Full time,,"Lead IT support teams, manage infrastructure services and applications • Skilled in Windows Admin, virtualization, and AWS • Tertiary degree in Engineering/Computer Science, AWS certifications preferred"
Data Centre Security Manager,Amazon Web Services,Melbourne VIC,Full time,,"Manage physical security at Melbourne Data Center • Ensure compliance with international security standards and Amazon policies • Supervise security operations, investigations, and vendor performance"
Technical Lead - IT Managed Services,Brennan,Melbourne VIC,Full time,,"Serve as technical authority for enterprise client's infrastructure • Manage IT systems, security, and cloud environments for optimization • Lead technical support, foster client relationships, and drive innovation"
Senior Solutions Consultant,FrankieOne,Melbourne VIC,Full time,,"Support sales team in discovery discussions and product demonstrations • Provide technical guidance on API's, SDK's, and solution architecture • Collaborate with various teams to ensure customer success and improvements"
Infrastructure Manager,Cabrini Health,Malvern VIC,Full time,,"Lead team supporting and enhancing Cabrini infrastructure • Knowledge of service delivery, governance, and vendor management • Solid understanding of ITIL, software development, and project management"
Senior Cloud Security Engineer,Oreta,Melbourne VIC,Full time,"$120,000 - $150,000","Deploy & configure Microsoft Defender Suite for customers • Lead design & deployment of Azure, Microsoft 365, VMware solutions • 5+ years' experience in Azure, Microsoft 365, VMware environments"
Senior Solutions Architect (Network),NTT Data,Melbourne VIC,Full time,,Consult with clients to design and deliver costed solutions • Apply technical networking systems experience in Presales Solution Architecture • Bachelor's degree in computer science or related field required
IT Support Specialist,Udemy,Melbourne VIC,Full time,,"Provide L1 and L2 technical support for end user computing • Manage employee lifecycle, office initiatives, and automation testing • Collaborate with various teams, assist in IT support initiatives"
DevOps Engineer,Leaders IT,Melbourne VIC,Permanent,"$110,000 - $130,000","Lead DevOps best practices and automation development • Mentor Ops and Engineering teams; provide clear process documentation • Extensive Linux knowledge, hands-on experience with Redhat Openshift"
IT System Administrator,Easygo,Melbourne VIC,Full time,,"Manage and optimize SaaS ecosystem including Google Workspace, Slack • Lead MDM processes and IT infrastructure projects, provide Level 3 support • Expertise in identity and access management, scripting skills, and documentation"
Facility Security Manager,Amazon Web Services,Melbourne VIC,Full time,,"Manage security operations at large, government accredited sites • Develop and maintain security documentation, procedures, and CONOPs • Lead security forces, manage classified material program, and ensure compliance"
Senior Engineer - Cloud & Hosting,Cenitex,Melbourne VIC,Full time,"$124,888 - $136,747","Manage multi-cloud platform and server administration • Utilize AWS, Azure, Ansible, Terraform for automation and deployment • Experience with Windows server platform and Active Directory required"
Systems Administrator,Pointsbet,Melbourne VIC,Contract,,"Maintain and upgrade computer systems, networks, and servers • Provide technical support globally, track issues, and maintain documentation • Extensive experience with Office 365, Azure, and virtual environments"
DevOps & Environments Lead,M&T Resources,Melbourne VIC,Contract,,"Ensure stability, integration, and availability of critical IT environments • Define engineering standards, monitor service health, manage incident response • Collaborate with cross-functional teams, lead workshops, drive business outcomes"
"Head of Security Engineering, APAC Cloud Security",Check Point Software,Melbourne VIC,Full time,,"Lead Cloud security team covering APAC region • Recruit, manage, and develop skilled presales Cloud consultants • Collaborate with hyperscalers, drive product roadmap, manage relationships"
Part-Time IT Support Officer,Cadre Capital Partners Pty Ltd,Balwyn VIC,Part time,"$65,000 - $75,000","Provide day-to-day IT support and troubleshoot backend systems • Manage databases, SQL queries, and application troubleshooting • Proficiency in Node.js, SQL, Microsoft 365; cloud dev experience preferred"
DevOps Consultant,Infosys,Melbourne VIC,Full time,"$150,742 - $171,215","Manage Windows system migration to AWS with Jenkins pipeline • Lead team of developers, collaborate with stakeholders, and design solutions • Implement CI/CD Pipeline, work with Docker, Kubernetes, AWS"
Practice Sales Director-Infrastructure Technology Sales,Infosys,Melbourne VIC,Full time,,Responsible for farming existing and hunting new accounts • Lead large infrastructure outsourcing deals and technical solution development • Minimum 15-18 years experience in Infrastructure Management and Consulting
Implementation Consultant,Hexagon Asset Lifecycle Intelligence,Melbourne VIC,Contract,,Implement Hexagon's applications to meet customer acceptance • Provide Level 3 application support for designated customers • Tertiary qualifications in Software Engineering or equivalent required
IT Support Specialist,that,Melbourne VIC,Part time,,"Provide L1 and L2 technical support for end user computing • Manage employee lifecycle, onboarding, offboarding, and hardware maintenance • Collaborate with teams, support executives, troubleshoot IT."
Network Data Centre Consultant,Bluefin Resources,Melbourne VIC,Contract,,"Lead design, implementation, and performance engineering projects • Communicate complex technical issues to various audiences effectively • 10+ years experience in scalable Data Center solutions required"
Chief Information Officer,Robert Half,North Melbourne VIC,Full time,,"Lead IT strategies aligned with business goals for digital transformation • Manage Dynamics 365 FinOps and CE platforms, Azure cloud architecture • 15+ years IT leadership experience, postgraduate qualification in IT/Business"
Cloud Security Control Lead (Senior Manager),CommBank,Melbourne VIC,Full time,,"Lead cloud security control design and implementation • Establish and maintain cloud security standards and guidelines • Analyze threat intelligence, prioritize vulnerabilities, recommend mitigations"
Splunk Lead,Capgemini,Melbourne VIC,Full time,,"Lead design, development, and support of Splunk Infrastructure & applications • 5+ years experience in Splunk administration/development & APM tools • Collaborate with stakeholders, global partners, and technical teams."
